label,Genefamily,Value
Aquila chrysaetos,OG0000007,decreased
3,OG0000007,none
Taeniopygia guttata,OG0000007,decreased
7,OG0000007,none
Nipponia nippon,OG0000007,none
11,OG0000007,none
Rissa tridactyla,OG0000007,increased
19,OG0000007,none
Cuculus canorus,OG0000007,none
10,OG0000007,none
29,OG0000007,none
Apus apus,OG0000007,decreased
41,OG0000007,decreased
Columbalivia,OG0000007,increased
Numida meleagris,OG0000007,none
48,OG0000007,decreased
Dromaius novaehollandiae,OG0000007,none
58,OG0000007,none
Alligator mississippiensis,OG0000007,increased
68,OG0000007,decreased
Gopherus evgoodei,OG0000007,increased
Varanus komodoensis,OG0000007,decreased
43,OG0000007,decreased
73,OG0000007,increased
Pogona vitticeps,OG0000007,decreased
51,OG0000007,decreased
Pseudonaja textilis,OG0000007,decreased
61,OG0000007,decreased
Eublepharis macularius,OG0000007,increased
69,OG0000007,none
Sphenodon punctatus,OG0000007,increased
75,OG0000007,increased
Sus scrofa,OG0000007,increased
17,OG0000007,none
Balaenoptera musculus,OG0000007,decreased
26,OG0000007,increased
Ceratotherium simum,OG0000007,increased
37,OG0000007,none
Desmodus rotundus,OG0000007,decreased
46,OG0000007,decreased
Gorilla gorilla,OG0000007,decreased
24,OG0000007,none
Tupaia chinensis,OG0000007,increased
36,OG0000007,decreased
64,OG0000007,decreased
Nannosplalax galili,OG0000007,decreased
Elephas maximus,OG0000007,increased
71,OG0000007,increased
47,OG0000007,increased
Choloepus didactylus,OG0000007,increased
72,OG0000007,increased
Sarcophilus harrisi,OG0000007,increased
Ornithorhynchus anatinus,OG0000007,decreased
MRCA,OG0000007,none
Rana temporaria,OG0000007,increased
20,OG0000007,increased
Nanorana parkeri,OG0000007,decreased
32,OG0000007,increased
Bufo bufo,OG0000007,increased
44,OG0000007,none
Leptobrachium leishanense,OG0000007,decreased
33,OG0000007,decreased
Spea bombifrons,OG0000007,none
52,OG0000007,none
Xenopus Tropicalis,OG0000007,decreased
45,OG0000007,increased
62,OG0000007,increased
Xenopus Laevis,OG0000007,increased
70,OG0000007,none
Bombina bombina,OG0000007,none
Pleurodeles waltl,OG0000007,decreased
74,OG0000007,increased
Microcaecilia unicolor,OG0000007,increased
56,OG0000007,increased
Geotrypetes seraphini,OG0000007,decreased
66,OG0000007,increased
Rhinatrema bivittatum,OG0000007,increased
Aquila chrysaetos,OG0000017,increased
3,OG0000017,none
Taeniopygia guttata,OG0000017,decreased
7,OG0000017,none
Nipponia nippon,OG0000017,decreased
11,OG0000017,none
Rissa tridactyla,OG0000017,increased
19,OG0000017,none
Cuculus canorus,OG0000017,increased
10,OG0000017,none
29,OG0000017,none
Apus apus,OG0000017,increased
41,OG0000017,none
Columbalivia,OG0000017,increased
Numida meleagris,OG0000017,decreased
48,OG0000017,decreased
Dromaius novaehollandiae,OG0000017,none
58,OG0000017,decreased
Alligator mississippiensis,OG0000017,decreased
68,OG0000017,increased
Gopherus evgoodei,OG0000017,none
Varanus komodoensis,OG0000017,decreased
43,OG0000017,none
73,OG0000017,decreased
Pogona vitticeps,OG0000017,none
51,OG0000017,none
Pseudonaja textilis,OG0000017,none
61,OG0000017,none
Eublepharis macularius,OG0000017,decreased
69,OG0000017,decreased
Sphenodon punctatus,OG0000017,decreased
75,OG0000017,decreased
Sus scrofa,OG0000017,decreased
17,OG0000017,none
Balaenoptera musculus,OG0000017,increased
26,OG0000017,none
Ceratotherium simum,OG0000017,decreased
37,OG0000017,none
Desmodus rotundus,OG0000017,decreased
46,OG0000017,none
Gorilla gorilla,OG0000017,increased
24,OG0000017,none
Tupaia chinensis,OG0000017,decreased
36,OG0000017,none
64,OG0000017,increased
Nannosplalax galili,OG0000017,increased
Elephas maximus,OG0000017,increased
71,OG0000017,increased
47,OG0000017,increased
Choloepus didactylus,OG0000017,none
72,OG0000017,increased
