name,uid,reference ,
Pogonavitticeps,e246fc36-cb24-4a87-8292-41f55b9dcc0e,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2022 Dec 22 by Vijay Karthick",
Varanuskomodoensis,ce6a78bc-3ef1-4d60-ab40-113eb84c7802,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2012 Feb 9 by Steven Traver",
Pseudonajatextilis,bb4f1ebf-efed-4515-b638-9921072062a8,"License	Attribution 4.0 International
Uploaded	2023 Jun 23 by Christina Zdenek",
Eublepharis macularius,b915aa26-40dd-4283-8ce4-d2dec024aa07,LicenseCC0 1.0 Universal Public Domain DedicationUploaded2023 May 31 by Jose Carlos Arenas-MonroyTaxonColeonyx fasciatus (Boulenger 1885),
Sphenodon punctatus,bb16d7af-7d0b-43db-b44e-22a1a564bf49,LicenseAttribution 3.0 UnportedUploaded2013 Jun 18 by T. Michael KeeseyTaxonSphenodon punctatus (Gray 1842),
Gopherusev goodei,12ec0606-9446-462a-ab05-9d9c1a693ca6,LicenseAttribution 3.0 UnportedUploaded2016 Jan 14 by Yan WongTaxonGopherus agassizii (Cooper 1863),
Alligator mississippiensis,eefc0a4d-24b5-4c91-b687-8bd28c414295,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2022 Oct 27 by Ferran Sayol
Taxon	Alligator missisipensis",
Taeniopygia guttata,7bf8ca33-0fef-4985-a4d4-a147bff6e98c,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2023 Feb 21 by Andy Wilson
Taxon	Taeniopygia guttata (Vieillot 1817)",
Aquilachrysaetos,b2b60a18-fd7d-49b2-a15d-54a62cdcac6b,"
License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2023 Mar 19 by Andy Wilson
Taxon	Aquila chrysaetos (Linnaeus 1758)",
Nipponianippon,665521e1-1a70-465e-9bdb-b67d13ae3661,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2023 Feb 2 by Kai Caspar
Taxon	Lophotibis cristata (Boddaert 1783)",
Rissatridactyla,bdaa6989-7904-4349-8f9b-a1e6b399e2af,,
Apusapus,0ca96de2-83a1-4f3c-b20d-8b0df1dd6960,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2023 Mar 31 by Andy Wilson
Taxon	Apus apus (Linnaeus 1758)",
cuculuscanorus,5311f33f-6db1-47b0-94c4-c60fa7521884,,
Columbalivia,966eed5e-b869-41b4-8de7-32286ae3656a,"
License	Attribution-ShareAlike 3.0 Unported
Uploaded	2013 May 8 by T. Michael Keesey and Nevit Dilmen
Taxon	Columba livia domestica",
Numidameleagris,e46e2714-b598-4655-9a5b-6020801b3f58,"License	Public Domain Mark 1.0
Uploaded	2023 Apr 7 by T. Michael Keesey
Taxon	Guttera plumifera",
Dromaiusnovaehollandiae,35947c43-1e5c-4003-bbaa-d352530b5af7,"License	Attribution 3.0 Unported
Uploaded	2014 May 30 by T. Michael Keesey
Taxon	Dromaius novaehollandiae novaehollandiae (Latham 1790)",
Ornithorhynchusanatinus,b406c409-2735-4a3d-a7aa-8afe0b6e72dc,"
License	Attribution 3.0 Unported
Uploaded	2013 Mar 21 by Sarah Werning
Taxon	Ornithorhynchus anatinus (Shaw 1792)",
Sarcophilusharrisi,58cc56c2-5a36-4031-be9f-28c86f77963c,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Apr 4 by Margot Michaud
Taxon	Sarcophilus harrisii (Boitard 1841)",
Choloepusdidactylus,96f7ce4a-633b-42a8-961d-c7a12c8684ce,"License	Attribution 4.0 International
Uploaded	2022 Nov 21 by Kai Caspar
Taxon	Choloepus didactylus",
Elephasmaximum,db278f3b-d8c1-47e9-afce-0478980f5875,"
License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2023 Mar 9 by Andy Wilson
Taxon	Elephas maximus Linnaeus 1758",
Desmodusrotundus,21180755-3394-40bf-93eb-810954c0f7ba,"License	Attribution 3.0 Unported
Uploaded	2019 Jan 3 by Roberto Diaz Sibaja
Taxon	Desmodus rotundus (E. Geoffroy 1810)",
Balaenopteramusculus,16969246-31e0-48e3-90ff-cad9a8746073,"License	Attribution-ShareAlike 3.0 Unported
Uploaded	2012 Jan 31 by T. Michael Keesey
Taxon	Balaenoptera musculus (Linnaeus 1758)",
Susscrofa,87047da1-b40e-4b31-8492-4db262f129f5,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Sep 10 by Ferran Sayol
Taxon	Sus scrofa Linnaeus 1758",
Ceratotheriumsimum,623da06a-1857-43a2-9d1b-8a29f5f378cf,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2019 Mar 15 by Jody Taylor
Taxon	Ceratotherium simum (Burchell 1817)",
Nannosplalaxgalili,053e968d-cfeb-484c-ba9a-8880d685df65,"License	Attribution 3.0 Unported
Uploaded	2020 Oct 21 by Kai Caspar
Taxon	Georychus capensis (Pallas 1778)",
Tupaiachinensis,88a07585-846a-405d-9195-c15c010e7443,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2012 Jan 4 by T. Michael Keesey
Taxon	Ptilocercus lowii Gray 1848",
Gorillagorilla,142e0571-3b5f-443d-a887-b572a224ea22,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2022 Sep 8 by Margot Michaud
Taxon	Gorilla gorilla (Savage & Wyman 1847)
Names for Subject Matter
Gorilla gorilla (Savage & Wyman 1847)
Gorilla castaneiceps Slack 1862
Gorilla diehli Matschie 1904
Gorilla ellioti Frechkop 1943
Gorilla elliotti Frechkop 1943
Gorilla gigas Haeckel 1903
Gorilla gina
Gorilla hansmeyeri Matschie 1914
Gorilla jacobi Matschie 1905
Gorilla matschiei Rothschild
Gorilla mayema (Alix and Bouveri 1877)
Gorilla savagei
Gorilla schwartzi
Gorilla uellensis Schouteden 1927
Gorilla wellensis
Gorilla zenkeri Matschie 1914
Homo gorilla (Savage & Wyman 1847)
Pithecus gesilla
Pseudogorilla gorilla
Pseudogorilla mayema Alix & Bouvier 1877
Satyrus adrotes Mayer 1856
Satyrus africanus
Troglodytes gorilla Savage & Wyman 1847
Troglodytes savagei Owen 1848
western gorillas
Gorilla I. Geoffroy Saint-Hilaire 1852
gorila
gorillas
gorille
Gorillini
горилла",
Rhinatremabivittatum,b2588f45-1947-4dc8-ba4f-31eaa10710e8,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2015 Sep 13 by Yan Wong
Taxon	Siphonops annulatus (Mikan 1820)",
Geotrypetesseraphini,3af2605e-49a6-46d3-a9b1-32042629dfac,LicenseCC0 1.0 Universal Public Domain DedicationUploaded2021 Sep 6 by Jose Carlos Arenas-MonroyTaxonDermophis mexicanus (Duméril and Bibron 1841),
Microcaeciliauniclour,8e1b16b2-2192-4201-8f1d-bf987bd87123,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Nov 8 by Chuanxin Yu
Taxon	Microcaecilia unicolor",
Pleurodeleswatl,16e2666e-4313-48e7-b6bf-e30e4ea4d8f6,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2012 Feb 14 by Steven Traver
Taxon	Triturus cristatus (Laurenti 1768)",
Bombinabombina,ee39605f-ab69-4789-a0ee-97535c768644,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Aug 14 by Beth Reinke
Taxon	Bombina pachypus (Bonaparte 1838)",
XenopusLaevis,cd0f49a1-4adf-448e-859c-b703a73b9481,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2023 Mar 8 by Andy Wilson
Taxon	Xenopus laevis (Daudin 1802)",
XenopusTropicalis,7e9286b9-0e49-46c2-88f6-218291fb06a4,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2019 Jun 28 by Andreas Hejnol
Taxon	Xenopus laevis (Daudin 1802)",
Speabombifrons,7cfe3c3b-4f2e-4d30-bf0d-01ecd7ee20f8,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Sep 6 by Jose Carlos Arenas-Monroy
Taxon	Spea multiplicata (Cope 1863)",
Leptobrachiumleishanense,ed66a2da-5e87-4553-a072-84817634c122,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Nov 8 by Chuanxin Yu
Taxon	Leptobrachium ailaonicum (Yang, Chen, and Ma 1983)",
Bufobufo,35ff35a9-fa6c-496f-a279-22908ac7e7ec,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Aug 14 by Beth Reinke
Taxon	Bufo bufo (Linnaeus 1758)
Names for Subject Matter
Bufo bufo (Linnaeus 1758)
Common European Toad
European Toad
European toad
european toad
True Toads
Жаба серая
Bufo Laurenti 1768
Bufonidae Gray 1825
bufonids
bufonidés
crapauds
toads
настоящие жабы
ヒキガエル科",
Nanoranaparkeri,ed1c4d77-0162-4737-a110-82cc90cfe737,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2022 Oct 5 by Jose Carlos Arenas-Monroy
Taxon	Nanorana aenea",
Ranatemporaria,e73c5c1c-7727-4687-bf0b-3957343edfc3,"License	CC0 1.0 Universal Public Domain Dedication
Uploaded	2021 Aug 14 by Beth Reinke
Taxon	Rana temporaria Linnaeus 1758",
,,,
,,,
